x,y,time,date
2025-10-03 17:22:00+05:30,24.62,17:22:00,2025-10-03
2025-10-03 17:23:00+05:30,23.34,17:23:00,2025-10-03
2025-10-03 17:24:00+05:30,24.49,17:24:00,2025-10-03
2025-10-03 17:25:00+05:30,24.76,17:25:00,2025-10-03
2025-10-03 17:26:00+05:30,24.47,17:26:00,2025-10-03
2025-10-03 17:27:00+05:30,23.83,17:27:00,2025-10-03
2025-10-03 17:28:00+05:30,24.08,17:28:00,2025-10-03
2025-10-03 17:29:00+05:30,23.8,17:29:00,2025-10-03
2025-10-03 17:30:00+05:30,25.25,17:30:00,2025-10-03
2025-10-03 17:31:00+05:30,24.24,17:31:00,2025-10-03
2025-10-03 17:32:00+05:30,24.71,17:32:00,2025-10-03
2025-10-03 17:33:00+05:30,23.69,17:33:00,2025-10-03
2025-10-03 17:34:00+05:30,24.37,17:34:00,2025-10-03
2025-10-03 17:35:00+05:30,24.92,17:35:00,2025-10-03
2025-10-03 17:36:00+05:30,24.84,17:36:00,2025-10-03
2025-10-03 17:37:00+05:30,24.28,17:37:00,2025-10-03
2025-10-03 17:38:00+05:30,23.1,17:38:00,2025-10-03
2025-10-03 17:39:00+05:30,24.55,17:39:00,2025-10-03
2025-10-03 17:40:00+05:30,24.22,17:40:00,2025-10-03
2025-10-03 17:41:00+05:30,24.47,17:41:00,2025-10-03
2025-10-03 17:42:00+05:30,24.53,17:42:00,2025-10-03
2025-10-03 17:43:00+05:30,23.85,17:43:00,2025-10-03
