x,y,time,date
2025-10-04 20:27:00+05:30,0.11762453,20:27:00,2025-10-04
2025-10-04 20:28:00+05:30,0.07347580,20:28:00,2025-10-04
2025-10-04 20:29:00+05:30,0.11083098,20:29:00,2025-10-04
2025-10-04 20:30:00+05:30,0.07621696,20:30:00,2025-10-04
2025-10-04 20:31:00+05:30,0.09575335,20:31:00,2025-10-04
2025-10-04 20:32:00+05:30,0.04739958,20:32:00,2025-10-04
2025-10-04 20:33:00+05:30,0.08734978,20:33:00,2025-10-04
2025-10-04 20:34:00+05:30,0.04790287,20:34:00,2025-10-04
2025-10-04 20:35:00+05:30,0.05054736,20:35:00,2025-10-04
2025-10-04 20:36:00+05:30,0.03711795,20:36:00,2025-10-04
2025-10-04 20:37:00+05:30,0.06223352,20:37:00,2025-10-04
2025-10-04 20:38:00+05:30,0.04900295,20:38:00,2025-10-04
2025-10-04 20:39:00+05:30,0.07322648,20:39:00,2025-10-04
2025-10-04 20:40:00+05:30,0.05207133,20:40:00,2025-10-04
2025-10-04 20:41:00+05:30,0.04450410,20:41:00,2025-10-04
2025-10-04 20:42:00+05:30,0.05474428,20:42:00,2025-10-04
2025-10-04 20:43:00+05:30,0.03797305,20:43:00,2025-10-04
2025-10-04 20:44:00+05:30,0.06017825,20:44:00,2025-10-04
2025-10-04 20:45:00+05:30,0.10398874,20:45:00,2025-10-04
2025-10-04 20:46:00+05:30,0.12076491,20:46:00,2025-10-04
2025-10-04 20:47:00+05:30,0.09765719,20:47:00,2025-10-04
2025-10-04 20:48:00+05:30,0.08962769,20:48:00,2025-10-04
2025-10-04 20:49:00+05:30,0.14023349,20:49:00,2025-10-04
2025-10-04 20:50:00+05:30,0.12045306,20:50:00,2025-10-04
2025-10-04 20:51:00+05:30,0.18498381,20:51:00,2025-10-04
2025-10-04 20:52:00+05:30,0.18091435,20:52:00,2025-10-04
2025-10-04 20:53:00+05:30,0.21580796,20:53:00,2025-10-04
2025-10-04 20:54:00+05:30,0.20358680,20:54:00,2025-10-04
2025-10-04 20:55:00+05:30,0.20627385,20:55:00,2025-10-04
2025-10-04 20:56:00+05:30,0.21433696,20:56:00,2025-10-04
2025-10-04 20:57:00+05:30,0.21859611,20:57:00,2025-10-04
2025-10-04 20:58:00+05:30,0.26212874,20:58:00,2025-10-04
2025-10-04 20:59:00+05:30,0.25145919,20:59:00,2025-10-04
2025-10-04 21:00:00+05:30,0.33760632,21:00:00,2025-10-04
2025-10-04 21:01:00+05:30,0.31038584,21:01:00,2025-10-04
2025-10-04 21:02:00+05:30,0.34250705,21:02:00,2025-10-04
2025-10-04 21:03:00+05:30,0.36024476,21:03:00,2025-10-04
2025-10-04 21:04:20+05:30,0.37382585,21:04:20,2025-10-04
2025-10-04 21:04:21+05:30,0.40203882,21:04:21,2025-10-04
2025-10-04 21:04:22+05:30,0.38289169,21:04:22,2025-10-04
2025-10-04 21:04:23+05:30,0.37899584,21:04:23,2025-10-04
2025-10-04 21:04:24+05:30,0.33163468,21:04:24,2025-10-04
2025-10-04 21:04:25+05:30,0.37686799,21:04:25,2025-10-04
2025-10-04 21:04:26+05:30,0.37108190,21:04:26,2025-10-04
2025-10-04 21:04:27+05:30,0.36803002,21:04:27,2025-10-04
2025-10-04 21:04:28+05:30,0.34749786,21:04:28,2025-10-04
2025-10-04 21:04:29+05:30,0.34261819,21:04:29,2025-10-04
2025-10-04 21:04:30+05:30,0.34561404,21:04:30,2025-10-04
2025-10-04 21:04:31+05:30,0.33097483,21:04:31,2025-10-04
2025-10-04 21:04:32+05:30,0.40502589,21:04:32,2025-10-04
2025-10-04 21:04:33+05:30,0.38280331,21:04:33,2025-10-04
2025-10-04 21:04:34+05:30,0.34786590,21:04:34,2025-10-04
2025-10-04 21:04:35+05:30,0.35377526,21:04:35,2025-10-04
2025-10-04 21:04:36+05:30,0.33845299,21:04:36,2025-10-04
2025-10-04 21:04:37+05:30,0.36079453,21:04:37,2025-10-04
2025-10-04 21:04:38+05:30,0.35523737,21:04:38,2025-10-04
2025-10-04 21:04:39+05:30,0.40420769,21:04:39,2025-10-04
2025-10-04 21:04:40+05:30,0.33381974,21:04:40,2025-10-04
2025-10-04 21:04:42+05:30,0.40329432,21:04:42,2025-10-04
2025-10-04 21:04:43+05:30,0.37116525,21:04:43,2025-10-04
2025-10-04 21:04:44+05:30,0.33314562,21:04:44,2025-10-04
2025-10-04 21:04:45+05:30,0.38231290,21:04:45,2025-10-04
2025-10-04 21:04:46+05:30,0.38658072,21:04:46,2025-10-04
2025-10-04 21:04:47+05:30,0.38816600,21:04:47,2025-10-04
2025-10-04 21:04:48+05:30,0.34813180,21:04:48,2025-10-04
2025-10-04 21:04:49+05:30,0.39266591,21:04:49,2025-10-04
2025-10-04 21:04:50+05:30,0.40926546,21:04:50,2025-10-04
2025-10-04 21:04:51+05:30,0.34910724,21:04:51,2025-10-04
2025-10-04 21:04:52+05:30,0.40104749,21:04:52,2025-10-04
2025-10-04 21:04:53+05:30,0.35238733,21:04:53,2025-10-04
2025-10-04 21:04:55+05:30,0.38997799,21:04:55,2025-10-04
2025-10-04 21:04:56+05:30,0.35574356,21:04:56,2025-10-04
2025-10-04 21:04:57+05:30,0.37939393,21:04:57,2025-10-04
2025-10-04 21:04:58+05:30,0.34054402,21:04:58,2025-10-04
2025-10-04 21:04:59+05:30,0.38123489,21:04:59,2025-10-04
2025-10-04 21:05:00+05:30,0.36519435,21:05:00,2025-10-04
2025-10-04 21:05:01+05:30,0.38068314,21:05:01,2025-10-04
2025-10-04 21:05:02+05:30,0.38764908,21:05:02,2025-10-04
2025-10-04 21:05:03+05:30,0.34453004,21:05:03,2025-10-04
2025-10-04 21:05:04+05:30,0.36721014,21:05:04,2025-10-04
2025-10-04 21:05:05+05:30,0.34372901,21:05:05,2025-10-04
2025-10-04 21:05:06+05:30,0.41462651,21:05:06,2025-10-04
2025-10-04 21:05:08+05:30,0.36527366,21:05:08,2025-10-04
2025-10-04 21:05:09+05:30,0.39904350,21:05:09,2025-10-04
2025-10-04 21:05:10+05:30,0.39136554,21:05:10,2025-10-04
2025-10-04 21:05:11+05:30,0.40144435,21:05:11,2025-10-04
